Time,Trace_vel,Backaz,MdCCM,Sigma_tau,datetime,airt_c_avg,nearest_met_time,met_time_difference_s,vel_corrected_5C,label,Pressure,Duration_seconds
19292.61865740741,0.3269412488485031,332.02987829572646,0.3431385942437672,0.0058891186951181,2022-10-27 14:50:52.000000,2.478,2024-02-16 03:00:00,104.0,0.32843360132773314,Glacier,0.045259212249701294,20.0
19629.1188425926,0.3264929001553637,329.6115455708889,0.4218739110762101,0.0078472680258814,2023-09-29 02:51:08.000001,-1.143,2025-02-25 19:15:00,140.0,0.3301590707178082,Glacier,0.05023783869952731,20.0
19561.04458333333,0.3272882718806263,331.4984857014578,0.9240424157598932,0.0067360014257012,2023-07-23 01:04:12.000000,0.796,2024-11-08 07:00:00,-436.0,0.32979000811152975,Glacier,0.595496490399002,20.0
20299.677453703705,0.3240165202494237,330.8707667918919,0.4098160675233604,0.0078794538017382,2025-07-30 16:15:32.000000,-3.507,2023-04-12 02:15:00,268.0,0.32908804871798286,Glacier,0.10093336076157149,20.0
19288.335092592595,0.3261046409503316,331.1661117767681,0.5698464408996097,0.0061152902605878,2022-10-23 08:02:32.000000,-3.286,2024-02-11 19:00:00,-348.0,0.3310732064468908,Glacier,0.23445865739117355,20.0
19299.18407407408,0.3236244087952993,328.1728989787562,0.9377339653275694,0.0077416324080197,2022-11-03 04:25:04.000000,-2.93,2024-02-22 12:30:00,28.0,0.3283386871772159,Glacier,0.18563607459293402,20.0
20188.17013888888,0.3233618729802675,326.4129798861437,0.5202205547979214,0.0273250366345729,2025-04-10 04:04:59.999999,-9.21,2022-12-18 19:30:00,428.0,0.33195234247466576,Glacier,0.014334846014276897,20.0
19603.481712962963,0.3252855556262485,330.6897134359656,0.551193873796725,0.005767897277882,2023-09-03 11:33:40.000000,-4.435,2025-02-01 14:30:00,424.0,0.33094692937690495,Glacier,0.10805786872357881,20.0
19688.610185185185,0.3262716724196201,327.9294798989437,0.5799938573762484,0.020679722742613,2023-11-27 14:38:40.000000,-0.049,2025-04-22 04:00:00,-4.0,0.32927386091161376,Glacier,0.6620648871522039,20.0
19911.20037037037,0.3262387339095405,331.0682526029144,0.4298040887153659,0.0056962840715926,2024-07-07 04:48:32.000000,-1.828,2025-11-16 19:00:00,168.0,0.33031823574421365,Glacier,0.09376725990920942,20.0
20317.09638888889,0.3266880673068784,328.90733657600686,0.9220962273812396,0.0074606477143488,2025-08-17 02:18:48.000000,-0.195,2023-05-01 17:30:00,-152.0,0.32978224996000866,Glacier,0.18205917576982616,20.0
19652.930925925924,0.3246303168629349,328.55406612270093,0.8595467765423676,0.006915898772848,2023-10-22 22:20:32.000000,-7.002,2025-03-21 06:30:00,212.0,0.3318692427070643,Glacier,0.16708978168852168,20.0
19913.332407407408,0.3262387339095405,331.0682526029144,0.9252545225467046,0.0056962840715926,2024-07-09 07:58:40.000000,-0.509,2025-11-18 23:00:00,268.0,0.3295182497124248,Glacier,0.5871553550913268,20.0
19283.462916666667,0.3267944601597434,332.3355782928259,0.7436743000563403,0.0090224633181199,2022-10-18 11:06:36.000000,-2.313,2024-02-05 19:30:00,-372.0,0.3311770403105765,Glacier,0.34807024469604986,20.0
19915.381666666664,0.3262387339095405,331.0682526029144,0.9350078758098708,0.0056962840715926,2024-07-11 09:09:36.000000,1.389,2025-11-21 00:30:00,-88.000001,0.32837722722326,Glacier,0.9455352127523807,20.0
19586.137407407405,0.324372892201116,332.4806261405818,0.9089693384368742,0.020179559893927,2023-08-17 03:17:52.000000,-2.96,2025-01-16 13:45:00,152.0,0.32911634369933457,Glacier,0.41493152607945283,20.0
20334.75180555556,0.329590768885548,330.4489133636598,0.9576940153627592,0.0068195890903464,2025-09-03 18:02:36.000000,4.353,2023-05-20 08:45:00,16.0,0.32997476667387277,Glacier,1.3817860901291779,20.0
19662.171157407407,0.3268149978082495,327.41596060694803,0.632357130310158,0.0051653207183977,2023-11-01 04:06:28.000000,-1.849,2025-03-28 09:00:00,308.0,0.3309145120650061,Glacier,0.09605747086513222,20.0
19910.249351851853,0.3262387339095405,331.0682526029144,0.5351559680597883,0.0056962840715926,2024-07-06 05:59:04.000000,-3.334,2025-11-15 20:15:00,-104.0,0.33123880205824874,Glacier,0.10702435697083376,20.0
20224.205972222226,0.3269971093973807,327.311621931176,0.5735883167344487,0.0201326621200343,2025-05-16 04:56:36.000000,-0.61,2023-01-24 07:30:00,260.0,0.3303454427602699,Glacier,0.04461755986357329,20.0
19737.046064814804,0.3316453439066431,330.8902987564676,0.9819808755064672,0.0202511023439527,2024-01-15 01:06:19.999999,4.838,2025-06-02 21:00:00,-172.0,0.3317419644812474,Glacier,0.25588495310479537,20.0
20234.01842592593,0.324471712003039,327.9784680210378,0.831093967903357,0.0204695670878322,2025-05-26 00:26:32.000000,-3.0,2023-02-03 08:15:00,-24.0,0.3292409805607456,Glacier,0.07592766804568489,20.0
19253.36129629629,0.3267151493981968,328.5696243504961,0.6579781432135848,0.0082626067850282,2022-09-18 08:40:16.000000,-2.725,2024-01-06 11:45:00,-22728.0,0.3313487874193376,Glacier,0.07166035256614522,20.0
20339.94587962963,0.3286214141454391,329.7408419319671,0.9399357638651172,0.0074653155896044,2025-09-08 22:42:04.000000,3.683,2023-05-25 11:15:00,400.0,0.32940217525641075,Glacier,0.5385012152448784,20.0
19288.323842592592,0.3250860078137276,330.357027895738,0.6944859114124008,0.0115395881678027,2022-10-23 07:46:20.000000,-3.399,2024-02-11 18:30:00,436.0,0.33010817354668137,Glacier,0.18112520600636015,20.0
20327.04351851852,0.3284071830798292,331.1938290890332,0.4359411852512002,0.0061120164424179,2025-08-27 01:02:40.000000,3.186,2023-05-12 16:15:00,68.0,0.3294833298027156,Glacier,0.019755674618410976,20.0
20360.23662037037,0.3284815319385001,333.21658668384543,0.4055181288957419,0.0059845613901644,2025-09-29 05:40:44.000000,4.348,2023-06-14 12:15:00,280.0,0.32886720013206844,Glacier,0.06954838740446036,20.0
19604.81337962963,0.3257866101271523,332.159566584576,0.9516740912299902,0.0080931961743617,2023-09-04 19:31:16.000000,-0.661,2025-02-02 22:00:00,220.0,0.3291533468368465,Glacier,0.35632746199284937,20.0
20290.03712974537,0.3233142189516868,333.25324770560604,0.4255300393999971,0.0039590774328421,2025-07-21 00:53:28.010000,-8.19,2023-04-02 08:30:00,332.0,0.33126395247737545,Glacier,0.6915189747046913,20.0
19253.467175925925,0.3256516671724033,328.9700380429292,0.8653918698517448,0.0085588459085685,2022-09-18 11:12:44.000000,-2.725,2024-01-06 11:45:00,-13428.0,0.33027022235552655,Glacier,0.4040825637223199,20.0
20283.30148148148,0.3262387339107884,331.0682526029359,0.656313604112879,0.0056962840714151,2025-07-14 07:14:08.000000,-3.476,2023-03-26 14:00:00,-440.0,0.33132599941575874,Glacier,0.08461547186384302,20.0
19732.087083333336,0.328835706990341,328.3463762780072,0.9794321647400072,0.0232878311149239,2024-01-10 02:05:24.000000,2.797,2025-05-29 03:15:00,384.0,0.33014571390906605,Glacier,0.47760191631044013,20.0
19640.5513425926,0.3268149978082495,327.41596060694803,0.7262987555803779,0.0051653207183977,2023-10-10 13:13:56.000001,-1.865,2025-03-09 04:00:00,-308.000001,0.33092427035265176,Glacier,0.04410436632656797,20.0
19267.01638888889,0.3257806220079539,333.3988868776417,0.6212769600346161,0.0055963471274018,2022-10-02 00:23:36.000000,-4.039,2024-01-20 12:30:00,-240.0,0.33120665553686923,Glacier,0.05756288907075734,20.0
19573.429953703704,0.3291312088981948,331.83508305202395,0.8148931125654043,0.006285992197501,2023-08-04 10:19:08.000000,0.538,2025-01-05 01:00:00,-344.0,0.3318033137946561,Glacier,0.14545430795138276,20.0
20279.87388888889,0.3268149978094555,327.41596060695554,0.7332044425470535,0.0051653207181668,2025-07-10 20:58:24.000000,-3.602,2023-03-23 04:00:00,376.0,0.33198881615700565,Glacier,0.8879725881958553,20.0
19632.54953703704,0.3263870810798472,333.34319429591187,0.5756323833983843,0.005416409753058,2023-10-02 13:11:20.000000,1.066,2025-03-01 05:00:00,40.0,0.3287199761579879,Glacier,0.07783101591203044,20.0
19689.69175925925,0.3261711274943313,331.2094119610151,0.6446276344436036,0.0075045935793704,2023-11-28 16:36:07.999999,-0.022,2025-04-23 05:45:00,-1e-06,0.3291561202930676,Glacier,0.06677516488794118,20.0
19987.356805555555,0.3255721710217787,332.6902462466076,0.61577586694517,0.0071029412434258,2024-09-21 08:33:48.000000,0.419,2026-01-30 12:15:00,204.0,0.32828675886965236,Glacier,0.07414873584043993,20.0
20030.49666666667,0.3224521357003077,326.3188595845717,0.599394774385785,0.0084771730441884,2024-11-03 11:55:12.000000,-9.95,2026-03-15 04:30:00,-424.0,0.3314834478548079,Glacier,0.19383858299950574,20.0
19734.24462962963,0.3299169054859927,326.15373168747686,0.9480371660484952,0.0203661852784486,2024-01-12 05:52:16.000000,2.387,2025-05-31 05:45:00,-280.0,0.3314775646427933,Glacier,0.24023728847172754,20.0
20249.280185185184,0.3234013071736398,326.93063051324015,0.8754048045641174,0.0210207379319763,2025-06-10 06:43:28.000000,-3.002,2023-02-18 18:45:00,252.0,0.3281560570365669,Glacier,0.11880073570226984,20.0
20292.1625,0.3243643545856176,329.3556413796632,0.8196791160825189,0.007584898668074,2025-07-23 03:54:00.000000,-3.328,2023-04-04 11:45:00,312.0,0.3293320335110007,Glacier,0.4745700186278969,20.0
19690.14888888889,0.3286051016481692,327.96957377045294,0.7372711698109399,0.0092057689671145,2023-11-29 03:34:24.000000,0.033,2025-04-23 16:30:00,-32.0,0.33157898576295286,Glacier,0.10082525600378776,20.0
19477.00773148148,0.3332019683479435,326.58191156545314,0.8930643281312446,0.0267095346728969,2023-04-30 00:11:08.000000,12.03,2024-08-17 19:30:00,164.0,0.32906944450541287,Glacier,0.06566010871605209,20.0
20171.699259259258,0.3262307330938981,329.3651717059729,0.9397032548729024,0.0270478618077513,2025-03-24 16:46:56.000000,-3.45,2022-12-01 21:30:00,88.0,0.3313019033650889,Glacier,0.2622687540231431,20.0
20175.949166666665,0.3267282520604774,331.75054109921416,0.9191071871714532,0.0230574011719156,2025-03-28 22:46:48.000000,-0.804,2022-12-06 03:45:00,272.0,0.3301913721019182,Glacier,0.16141446755211827,20.0
